disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
141,conductive hearing loss,"Conductive hearing loss occurs when sounds can’t reach your inner ear . Several things can cause it, including ear infections, blockages and structural issues. As a result, louder sounds might be muffled, and you may not be able to hear softer sounds at all. Other names for this condition include conductive hearing impairment or conduction deafness.",ENT / Otolaryngology,"hoarse voice, ear pain, plugged feeling in ear, low self-esteem, diminished hearing",low,Usually managed with routine outpatient care,"What tests will be done to diagnose this condition? After a physical exam, an otolaryngologist or audiologist will need to run some hearing tests , which may include: Acoustic reflex test : Measures the tightness of a small muscle in your middle ear (stapedial muscle) in response to loud sounds. Bone conduction test : Sends sound directly to your inner ear and helps determine which type of hearing loss you have. Otoacoustic emissions (OAEs) : Measures sound-related vibrations from your inner ear and can show whether you have a blockage. Pure-tone audiometry : Determines the quietest sounds you can hear at different pitches. Speech audiometry : Tests your word recognition and records the softest speech you can repeat. Tuning fork exams : Determine whether you have conductive or sensorineural hearing loss. (Examples include the Rinne test and Weber’s test). Tympanometry : Shows how well your eardrum moves in response to sounds. In addition to hearing tests, your healthcare provider may need to do a: Cranial nerve exam Head and neck exam MRI (magnetic resonance imaging) or CT scan (computed tomography scan) ","0.732, 0.531, 0.531, 0.520, 0.513",https://my.clevelandclinic.org/health/diseases/conductive-hearing-loss
142,congenital heart defect,"Congenital heart disease is when you are born with a heart defect, like a hole in your heart. This can affect the way blood flows around your body. Treatments include medicine and sometimes surgery.",Cardiovascular / Cardiology,"hand or finger stiffness or tightness, arm swelling, lack of growth, sharp chest pain",mild,Needs medical follow-up and monitoring,"Congenital heart disease is screened for during the 20-week pregnancy screening scan. The 20-week scan cannot find all conditions, so it’s possible for congenital heart disease to be missed.
Tests for congenital heart disease in children and adults include:
    measuring how much oxygen is in your blood (pulse oximetry test)
    measuring the electrical activity of the heart (electrocardiogram)
    chest X-rays
    scans to check your heart and the surrounding blood vessels, such as an MRI and echocardiogram
    blood tests to check for genetic alterations (mutated genes) that may cause heart problems
    studying the flow of blood through your heart using a special dye that shows up on scanners (cardiac catheterisation and coronary angiography)","0.916, 0.777, 0.722, 0.555",https://www.nhs.uk/conditions/congenital-heart-disease/
143,congenital malformation syndrome,"Some neonates and older infants may present with dysmorphic features in combination with one or more major congenital malformations. In such cases, investigation for a genetic condition may be valuable.",Genetics / Genomic Medicine,"diminished hearing, seizures, lack of growth, gum pain",mild,"Varies, but usually not an immediate emergency","Genomic testing should be considered in the presence of facial dysmorphism, either alone or in combination with any congenital malformation (such as limb defects or organ abnormalities).","1.000, 0.769, 0.615, 0.384",https://www.genomicseducation.hee.nhs.uk/genotes/in-the-clinic/presentation-infant-with-congenital-malformation-and-dysmorphism-syndrome/
144,conjunctivitis,Conjunctivitis is an eye condition caused by infection or allergies. It usually gets better in a couple of weeks without treatment.,Ophthalmology,"sore throat, pain in eye, coryza, swollen eye, eye redness",mild,Usually needs treatment but not emergency,N/A,"0.657, 0.543, 0.528, 0.525, 0.519",https://www.nhs.uk/search/click?url=%2Fconditions%2Fconjunctivitis%2F&pos=1&hash=LZgS3%2FaMWHQdMlly10VKZxZt9VsTuBXI%2FYkp4xRdg7k%3D&id=317354e9-4932-44d4-8766-fa4e7f78dd5c&searchText=conjunctivitis&documentId=d88f0bae-4406-40b2-bfc9-08dcbfb3bcdc&pageIndex=0
145,conjunctivitis due to allergy,N/A,Ophthalmology,"eye redness, sneezing, itchiness of eye, nasal congestion, symptoms of eye",low,Usually managed with routine outpatient care,N/A,"0.520, 0.517, 0.516, 0.514, 0.509",N/A
146,conjunctivitis due to bacteria,N/A,Ophthalmology,"abnormal appearing skin, nasal congestion, cough, sore throat, eye redness",mild,Usually needs treatment but not emergency,N/A,"0.798, 0.766, 0.740, 0.733, 0.551",N/A
147,conjunctivitis due to virus,N/A,Ophthalmology,"lacrimation, diminished vision, nasal congestion, pain in eye, swollen eye",mild,Usually needs treatment but not emergency,N/A,"0.684, 0.682, 0.511, 0.509, 0.506",N/A
148,connective tissue disorder,N/A,Rheumatology,"difficulty in swallowing, feeling ill, joint pain",mild,"Varies, but usually not an immediate emergency",N/A,"1.000, 1.000, 0.666",N/A
149,contact dermatitis,"Contact dermatitis is your skin’s reaction to something in your environment that causes an itchy rash. “ Dermatitis ” is the medical term for skin irritation or swelling (inflammation). You get contact dermatitis by coming into contact with a substance, organism, object or chemical that’s irritating to your skin.",Dermatology,"skin moles, allergic reaction, itching of skin, skin irritation, skin dryness/peeling/scaliness or roughness",low,Usually managed with routine outpatient care,"How is contact dermatitis diagnosed? Your healthcare provider will diagnose contact dermatitis after taking a complete medical history, performing a physical exam and reviewing your symptoms. There isn’t a test to identify the cause of irritant contact dermatitis, but your provider will ask questions to learn more about your environment, things you’ve come into contact with and the location and size of your rash. These questions could include: How long have you had a rash? Did you make any changes to your normal skin care routine? Did you come into contact with any new plants, materials or chemicals? Do you have regular contact with any irritants or chemicals? For allergic contact dermatitis, your provider may offer testing, including a patch test to confirm a diagnosis. For a patch test, your provider will place a sticky patch on your skin. That patch is coated in common allergens. When your provider removes the patch, they’ll be able to see if the allergens on the patch triggered an allergic reaction on your skin. Advertisement Although uncommon, your provider might perform a skin culture or biopsy where they take a sample of the tissue from your rash and examine it under a microscope.","0.675, 0.543, 0.514, 0.513, 0.507",https://my.clevelandclinic.org/health/diseases/6173-contact-dermatitis
150,conversion disorder,N/A,Psychiatry,"anxiety and nervousness, cough, depression, seizures",mild,"Varies, but usually not an immediate emergency",N/A,"1.00, 0.85, 0.60, 0.60",N/A
151,cornea infection,N/A,Ophthalmology,"lip swelling, spots or clouds in vision, diminished vision, pain in eye, eye burns or stings",mild,Usually needs treatment but not emergency,N/A,"0.652, 0.543, 0.521, 0.517, 0.509",N/A
152,corneal abrasion,"A corneal abrasion is a scratch on, or an injury to, the surface of your cornea , the clear covering on your eye. The epithelium is the name of the surface or top layer of your cornea — there are five layers in total.",Ophthalmology,"diminished vision, itchiness of eye, white discharge from eye, symptoms of eye, pain in eye",mild,Needs timely evaluation,What tests will be done to diagnose a corneal abrasion? Your provider will do a complete eye exam . This includes the slit lamp exam with the microscope that lets your provider see into your eyes. The provider may have to flip your eyelids inside out if they suspect you have something under your eyelids. The provider may instill a yellow dye called fluorescein into your eye. The dye fills in any breaks in the skin of your eye and helps find abrasions easily.,"0.686, 0.670, 0.656, 0.532, 0.518",https://my.clevelandclinic.org/health/diseases/14423-corneal-abrasion
153,corneal disorder,N/A,Ophthalmology,"double vision, white discharge from eye, spots or clouds in vision, itchiness of eye, diminished vision ",mild,"Varies, but usually not an immediate emergency",N/A,"0.676, 0.637, 0.541, 0.528, 0.520",N/A
154,coronary atherosclerosis,N/A,Cardiovascular / Cardiology,"irregular heartbeat, palpitations, burning chest pain, sharp chest pain, fatigue",mild,Needs timely evaluation,N/A,"0.758, 0.544, 0.535, 0.500, 0.500",N/A
155,cranial nerve palsy,N/A,Neurology,"facial pain, difficulty speaking, abnormal movement of eyelid, headache, abnormal involuntary movements",mild,Needs timely evaluation,N/A,"0.770, 0.702, 0.685, 0.538, 0.523",N/A
156,crohn disease,N/A,Gastroenterology,"pain of the anus, nausea, sharp abdominal pain, vomiting, regurgiation",mild,Needs timely evaluation,N/A,"0.784, 0.537, 0.531, 0.502, 0.497",N/A
157,croup,"Croup (laryngotracheobronchitis) is a respiratory infection that affects young children. Viral infections are the most common cause of the condition. Croup causes swelling of your child’s voice box ( larynx ) and windpipe ( trachea ). This swelling causes the airway below their vocal cords to narrow, which makes their breathing noisy and difficult.",Respiratory / Pulmonology,"nasal congestion, vomiting, cough, pulling at ears, abnormal breathing sounds ",mild,Needs timely evaluation,"How can I tell if my child has croup? You can usually tell if your child has croup based on their signs and symptoms. The most common symptoms are a barking cough and stridor. This condition is especially widespread in the fall and winter months. If your child’s condition is severe, a healthcare provider may order X-rays and laboratory tests, but this is rare.","0.693, 0.551, 0.523, 0.519, 0.512",https://my.clevelandclinic.org/health/diseases/8277-croup
158,crushing injury,N/A,Musculoskeletal ,"neck swelling, hand or finger swelling, knee swelling, hand or finger stiffness or tightness, foot or toe pain",high,Major trauma may harm vital structures,N/A,"0.761, 0.714, 0.634, 0.571, 0.571",N/A
159,cryptococcosis,Cryptococcosis is an illness caused by infection with Cryptococcus fungi in your brain or lungs. It can also spread to many areas of your body (disseminated cryptococcosis).,Infectious Diseases,"depressive or psychotic symptoms, cross-eyed",mild,Needs timely evaluation,"How is cryptococcosis diagnosed? Providers diagnose cryptococcosis by testing your tissues or body fluids for signs of Cryptococcus fungi. They may test your: Blood. Cerebrospinal fluid (CSF). Sputum (mucus coughed up from your lungs). They’ll also use your symptoms, medical and travel history, and imaging to help diagnose cryptococcosis. Depending on your symptoms, you may get chest X-rays , a CT scan (computed tomography scan) or an MRI (magnetic resonance imaging) to look for changes in your lungs or brain. ","1.0, 1.0",https://my.clevelandclinic.org/health/diseases/25040-cryptococcosis
160,cryptorchidism,N/A,Urology,"lack of growth, symptoms of the scrotum and testes, swelling of scrotum",mild,Needs timely evaluation,N/A,"1.0, 0.8, 0.8",N/A
161,cushing syndrome,"Cushing syndrome is a rare hormonal condition that happens when your body has too much cortisol . Cortisol is an important hormone that controls many bodily functions. But having too much of it can cause symptoms, like a round or full face, weight gain and skin changes. The most common causes of Cushing syndrome are taking corticosteroid medications or developing a tumor on your pituitary or adrenal glands.",Endocrinology,"emotional symptoms, weight gain",mild,"Varies, but usually not an immediate emergency","How doctors diagnose Cushing syndrome Your healthcare provider will ask questions about your symptoms, look at your medical history and do a physical exam. They’ll order tests that check cortisol and other hormone levels. Cushing’s can be difficult to diagnose. This is because some of its symptoms, like tiredness and weight gain, can have several other causes. Tests that diagnose this condition Your healthcare provider may order the following tests: 24-hour urinary cortisol test : This test measures the amount of cortisol in your pee. You’ll collect your pee over a period of 24 hours. Midnight salivary cortisol test : This test checks cortisol levels between 11 p.m. and 12 a.m., when they’re typically at their lowest. Dexamethasone suppression test : This test measures how well your body can suppress cortisol production. ACTH blood test : Low levels of ACTH may mean you have an adrenal tumor. If the levels are normal or high, you may have a pituitary or ectopic tumor. Once your provider diagnoses the condition, they’ll figure out the underlying cause. If you don’t take glucocorticoids, it usually points to a tumor. Your provider may recommend the following imaging tests to find the tumor: CT scan or MRI of your abdomen to look for a tumor in your adrenal glands MRI of your pituitary gland Bilateral inferior petrosal sinus sampling (BIPPS) to find the source of ACTH secretion Chest CT scan to look for lung cancer and an ectopic tumor","1.000, 0.888",https://my.clevelandclinic.org/health/diseases/5497-cushing-syndrome
162,cyst of the eyelid,N/A,Ophthalmology,"diminished vision, abnormal movement of eyelid, skin growth, muscle swelling, mass on eyelid",low,Usually benign or slow-growing,N/A,"1.000, 0.944, 0.722, 0.722, 0.722",N/A
163,cystic fibrosis,"Cystic fibrosis is a rare inherited genetic condition that causes breathing and digestive problems. There is currently no cure, but there are medicines and supportive treatments that can help.",Respiratory / Pulmonology,"intermenstrual bleeding, cough, decreased appetite, feeling ill",low,Usually benign or slow-growing,"How cystic fibrosis is diagnosed. Cystic fibrosis is one of the conditions that all babies are checked for as part of the newborn blood spot test. If the test suggests your baby may have cystic fibrosis, they'll have another test to check the level of salt in their sweat. People with cystic fibrosis usually have high levels of salt in their sweat.
Older children and adults who might have cystic fibrosis will have a blood test followed by a sweat test to check for the condition.
Carrier testing. If a relative has cystic fibrosis or is a known carrier, you can arrange to be tested yourself for the gene. This is known as carrier testing.","0.866, 0.733, 0.666, 0.533",https://www.nhs.uk/search/click?url=%2Fconditions%2Fcystic-fibrosis%2F&pos=1&hash=dnKjU60PXbMBj1IbNYykDojAZToTkvW%2FPNlI59gWyIk%3D&id=455663af-0868-4686-a12e-84fe80ca291e&searchText=cystic%20fibrosis&documentId=bbb5e05f-39ff-4934-84bc-8541367a3ac5&pageIndex=0
164,cysticercosis,"Cysticercosis (pronounced “cys-ti-cer-CO-sis”) is an illness you can get when you accidentally swallow Taenia solium ( T. solium ) eggs. T. solium is a pork tapeworm , a type of parasite . The eggs develop into larvae in sacs of fluid (cysts) that move into tissues in your body.",Infectious Diseases,"shortness of breath, elbow weakness, seizures, headache",low,Usually benign or slow-growing,"How doctors diagnose cysticercosis To diagnose cysticercosis, a healthcare provider will perform an exam and ask about symptoms you’ve had. They might ask about your travel history. Depending on your symptoms, they may perform some of these tests: Imaging Blood tests Lumbar puncture Skin biopsy Eye exam","0.833, 0.833, 0.527, 0.500",https://my.clevelandclinic.org/health/diseases/23534-cysticercosis
165,cystitis,"Cystitis is a urinary tract infection (UTI) that affects the bladder. It's common, particularly in women. It often gets better by itself, but may sometimes be treated with antibiotics.",Urology,"involuntary urination, side pain, symptoms of bladder, frequent urination, suprapubic pain",low,Usually benign or slow-growing,N/A,"0.524, 0.526, 0.515, 0.511, 0.503",https://www.nhs.uk/search/click?url=%2Fconditions%2Fcystitis%2F&pos=1&hash=l%2Bylyh1DCxRkmNsqwKlG9%2FI85pCqrufakZisqkOXKa8%3D&id=83c6009a-3de0-4e9a-abf7-98a8b7fdad5e&searchText=cystitis&documentId=b6830172-4d23-467d-a28c-be7970890cc9&pageIndex=0
166,de quervain disease,N/A,Musculoskeletal ,"abnormal involuntary movements, wrist swelling, arm pain, wrist pain, hand or finger pain",mild,Needs timely evaluation,N/A,"0.782, 0.586, 0.565, 0.521, 0.521",N/A
167,decubitus ulcer,N/A,Dermatology,"incontinence of stool, skin lesion, skin on leg or foot looks infected, difficulty speaking",mild,Needs timely evaluation,N/A,"0.9, 0.6, 0.6, 0.4",N/A
168,deep vein thrombosis (dvt),N/A,Cardiovascular / Cardiology,"leg cramps or spasms, abnormal appearing skin, leg stiffness or tightness, arm swelling, leg pain",high,Time-sensitive vascular emergency,N/A,"0.766, 0.691, 0.683, 0.675, 0.533",N/A
169,degenerative disc disease,N/A,Musculoskeletal ,"shoulder pain, neck pain, low back pain, loss of sensation, joint pain",mild,Needs timely evaluation,N/A,"0.675, 0.531, 0.523, 0.517, 0.515",N/A
170,delirium,"Delirium is new or worsened confusion and changes to your mental abilities. It affects your thinking, memory, awareness and focus. It may cause you to act very differently than you typically would. It develops over hours to days.",Neurology,"slurring words, problems with movement, hostile behavior, delusions or hallucinations, focal weakness",high,Needs urgent evaluation/treatment,How doctors diagnose delirium Your provider will make a diagnosis after: A physical exam A neurological exam Observing your behavior Learning more about your symptoms Reviewing your medical history Lab testing What tests diagnose delirium? There’s no test that shows if you have delirium. But tests play an important role in determining the cause of your delirium symptoms. Your provider might recommend the following tests: Blood tests Urinalysis Imaging tests ( chest X-ray ) Heart rhythm test ( electrocardiogram ) Lumbar puncture Brain scan (if needed) These tests may also help your provider determine the best treatment for you.,"0.760, 0.533, 0.511, 0.506, 0.503",https://my.clevelandclinic.org/health/diseases/15252-delirium
171,dementia,"Dementia is a syndrome (a group of related symptoms) associated with an ongoing decline of brain functioning. There are many different causes of dementia, and many different types. ",Neurology,"insomnia, depressive or psychotic symptoms, hostile behavior, delusions or hallucinations, focal weakness",mild,Needs timely evaluation,"Mental ability tests, blood tests, Dementia brain scans","0.769, 0.687, 0.669, 0.519, 0.516",https://www.nhs.uk/search/click?url=%2Fconditions%2Fdementia%2F&pos=1&hash=WfJyKQOAEnSMU%2FPOIf%2B7XVnRet86v%2F9HGNi2NCFrHb8%3D&id=c67c110c-ee3f-483e-834a-aa5b1535671d&searchText=dementia&documentId=be0063c9-cf25-4848-a7dc-151c58276e90&pageIndex=0
172,dengue fever,"Dengue fever is an illness you can get when a mosquito bites you . Four types of dengue virus (DENV) can cause it. The virus is most common in tropical and subtropical regions, including Central and South America, Africa, parts of Asia and the Pacific Islands. A few parts of the U.S. have also reported cases of dengue.",Infectious Diseases,"sore throat, wrist pain",mild,Needs timely evaluation,How doctors diagnose dengue fever Healthcare providers diagnose dengue with a blood test. They’ll take a sample of blood through a vein and send it to a lab to look for signs of the virus. The lab may also identify which of the four versions you have. Your provider can use a blood test to look for other viruses that cause similar symptoms.,"1.0, 1.0",https://my.clevelandclinic.org/health/diseases/17753-dengue-fever
173,dental caries,N/A,Dentistry / Oral Health,"facial pain, peripheral edema, restlessness, gum pain, mouth pain",low,Usually managed with routine outpatient care,N/A,"0.523, 0.518, 0.518, 0.515, 0.512",N/A
174,depression,"Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest in things and activities you once enjoyed. It can also cause difficulty with thinking, memory, eating and sleeping .",Psychiatry,"disturbance of memory, abusing alcohol, hostile behavior, temper problems, drug abuse",mild,Needs mental health evaluation and support,"How is depression diagnosed? Healthcare providers diagnose depression based on a thorough understanding of your symptoms, medical history and mental health history. They may diagnose you with a specific type of depression, such as seasonal affective disorder or postpartum depression, based on the context of your symptoms. Advertisement To receive a diagnosis of depression, you must have five depression symptoms every day, nearly all day, for at least two weeks. Your provider may order medical tests, such as blood tests, to see if any underlying medical conditions are causing your depressive symptoms.","0.652, 0.520, 0.520, 0.519, 0.512",https://my.clevelandclinic.org/health/diseases/9290-depression
175,dermatitis due to sun exposure,N/A,Dermatology,"lack of growth, acne or pimples, skin rash, skin dryness/peeling/scaliness or roughness, skin moles",mild,Usually needs treatment but not emergency,N/A,"0.769, 0.668, 0.533, 0.531, 0.524",N/A
176,developmental disability,N/A,Neurology,"restlessness, temper problems, obsessions and compulsions, seizures, fears and phobias",mild,Needs timely evaluation,N/A,"0.681, 0.522, 0.512, 0.512, 0.511",N/A
177,deviated nasal septum,N/A,ENT / Otolaryngology,"facial pain, nosebleed, painful sinuses, headache, difficulty breathing",low,Usually managed with routine outpatient care,N/A,"0.744, 0.525, 0.517, 0.512, 0.512",N/A
178,diabetes,Diabetes is a condition that causes your blood glucose (sugar) level to become too high.,Endocrinology,"weight gain, thirst",mild,Needs timely evaluation,"The primary tests are the HbA1c test (average sugar levels over 2-3 months) and the fasting blood glucose test, which check for diabetes or prediabetes. ","1.0, 1.0",https://www.nhs.uk/search/click?url=%2Fconditions%2Fdiabetes%2F&pos=1&hash=bQ8XZGhOa%2FuxoqhBOOGVE4nX1o2LegKZGi9TM2zlaGc%3D&id=f82ad396-7ab2-4c7b-9a5d-e2886f72a64c&searchText=diabetes&documentId=876ae1f7-b3f8-4ede-b7c9-7c6da3d4c591&pageIndex=0
179,diabetes insipidus,Diabetes insipidus is a rare condition where you pee a lot and often feel thirsty.,Endocrinology,"dizziness, emotional symptoms",mild,Needs timely evaluation,"Water deprivation test, Vasopressin test, MRI scan","1.000, 0.833",https://www.nhs.uk/search/click?url=%2Fconditions%2Fdiabetes-insipidus%2F&pos=1&hash=nVnGta3q4JapAAvsyJD0KwXk3xLRoHgHcDQHj%2FSOTQk%3D&id=a71cb992-a35b-4f0a-8e62-d47ec4a5735b&searchText=diabetes%20insipidus&documentId=54f72f99-8e58-4a1f-a219-d40f8da60f10&pageIndex=0
180,diabetic ketoacidosis,Diabetic ketoacidosis (DKA) is a serious condition that can happen in people with diabetes. It's where a lack of insulin causes harmful substances called ketones to build up in the blood. It can be life threatening and needs urgent treatment in hospital.,Endocrinology,"frequent urination, decreases appetite, nausea, sharp abdominal pain, fluid retention",high,Can rapidly destabilize organ function,N/A,"0.679, 0.671, 0.540, 0.509, 0.509",https://www.nhs.uk/search/click?url=%2Fconditions%2Fdiabetic-ketoacidosis%2F&pos=1&hash=7ClGCUvC0EmTQSF5kQ03SOIkILcGb81v8DQ89hBv9Og%3D&id=8bc2fb25-244c-40e8-8536-92bf33356a04&searchText=diabetic%20ketoacidosis&documentId=d5d31807-d812-4843-a450-463422be5628&pageIndex=0
181,diabetic kidney disease,N/A,Nephrology,"blood in stool, impotence",mild,Needs timely medical management,N/A,"1.0, 1.0",N/A
182,diabetic peripheral neuropathy,N/A,Neurology,"lymphedema, foot or toe stiffness or tightness, skin lesion, leg pain, paresthesia ",mild,Needs timely evaluation,N/A,"0.776, 0.676, 0.511, 0.504, 0.502",N/A
183,diabetic retinopathy,"Diabetic retinopathy is an eye condition caused by diabetes. It can lead to sight loss, but finding and treating it early reduces the risk.",Ophthalmology,"abnormal movement of eyelid, foreign body sensation in eye, double vision, itchiness of eye, symptoms of eye",mild,Needs timely evaluation,"Diabetic retinopathy is usually found during a diabetic eye screening appointment, which involves taking photographs of the back of your eye.","0.747, 0.706, 0.510, 0.504, 0.504",https://www.nhs.uk/search/click?url=%2Fconditions%2Fdiabetic-retinopathy%2F&pos=1&hash=D2Q4%2FZxCJRmJ3N7Guuzpkox5TEX1aDbbpwZh8vMCYYk%3D&id=577da479-3485-4078-8b2d-718329b53b09&searchText=diabetic%20retinopathy&documentId=3fa3483f-3bdd-4ebc-864b-b605fb5eda82&pageIndex=0
184,diaper rash,"A diaper rash is any rash that forms in your baby’s diaper area. In mild cases, the skin may be red and tender. A more severe diaper rash may have painful, open sores. Mild cases clear up within three to four days with home treatment. More severe cases may need medical treatment. Diaper rashes are the most common skin condition seen in young infants.",Dermatology,"temper problems, skin rash, diarrhea, fever, diaper rash",low,Usually managed with routine outpatient care,"How is diaper rash diagnosed? Your baby’s healthcare provider can diagnose diaper rash by looking at it. However, you may not need to seek medical treatment for a diaper rash. You can usually treat the condition at home.","0.672, 0.538, 0.526, 0.523, 0.520",https://my.clevelandclinic.org/health/diseases/11037-diaper-rash-diaper-dermatitis
185,dislocation of the ankle,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the ankle.,Musculoskeletal ,"emotional symptoms, ankle swelling, foot or toe pain, ankle pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","0.952, 0.619, 0.523, 0.428",https://my.clevelandclinic.org/health/diseases/17873-dislocation
186,dislocation of the elbow,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the elbow.,Musculoskeletal ,"elbow swelling, irritable infant, arm stiffness or tightness, arm pain, wrist pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","0.642, 0.630, 0.619, 0.511, 0.511",https://my.clevelandclinic.org/health/diseases/17873-dislocation
187,dislocation of the finger,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the finger.,Musculoskeletal ,"difficulty speaking, hand or finger stiffness or tightness, hand or finger pain, hand or finger swelling, wrist pain ",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","0.777, 0.666, 0.555, 0.444, 0.388",https://my.clevelandclinic.org/health/diseases/17873-dislocation
188,dislocation of the foot,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the foot.,Musculoskeletal ,"vomiting, elbow weakness, foot or toe pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","1.000, 0.947, 0.473",https://my.clevelandclinic.org/health/diseases/17873-dislocation
189,dislocation of the hip,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the hip.,Musculoskeletal ,"abusing alcohol, leg pain, hip pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","1.000, 0.833, 0.666",https://my.clevelandclinic.org/health/diseases/17873-dislocation
190,dislocation of the knee,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the knee.,Musculoskeletal ,"knee pain, knee swelling, knee stiffness or tightness",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","1.000,  0.666, 0.666",https://my.clevelandclinic.org/health/diseases/17873-dislocation
191,dislocation of the patella,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the patella.,Musculoskeletal ,"knee pain, knee stiffness or tightness, knee swelling",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","1.000, 1.000, 0.666",https://my.clevelandclinic.org/health/diseases/17873-dislocation
192,dislocation of the shoulder,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the shoulder.,Musculoskeletal ,"neck mass, arm stiffness or tightness, arm swelling, arm pain, wrist pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","0.765, 0.687, 0.609, 0.578, 0.546",https://my.clevelandclinic.org/health/diseases/17873-dislocation
193,dislocation of the vertebra,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the vertebra.,Musculoskeletal,"leg pain, elbow weakness, neck pain, back pain, low back pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","0.973, 0.894, 0.736, 0.605, 0.605",https://my.clevelandclinic.org/health/diseases/17873-dislocation
194,dislocation of the wrist,Dislocation is the medical term for bones in one of your joints being knocked or pushed out of their usual place - in this case being the wrist,Musculoskeletal,"elbow weakness, hand or finger pain, depression, arm pain",mild,Needs prompt reduction and evaluation,"X-rays, MRI, CT scans, Ultrasound","0.844, 0.844, 0.733, 0.600",https://my.clevelandclinic.org/health/diseases/17873-dislocation
195,dissociative disorder,"Dissociative disorders are a range of conditions that can cause physical and psychological problems.
Some dissociative disorders are very short-lived, perhaps following a traumatic life event, and resolve on their own over a matter of weeks or months. Others can last much longer.",Psychiatry,"back weakness, disturbance of memory, excessive anger, anxiety and nervousness, depressive or psychotic symptoms",mild,Needs mental health evaluation and support,N/A,"0.846, 0.769, 0.725, 0.670, 0.549",https://www.nhs.uk/search/click?url=%2Fmental-health%2Fconditions%2Fdissociative-disorders%2F&pos=1&hash=dJWKOR84xmVZ6iCMhYTgCc%2FiqtMTtazBXo%2BDSrIIlv4%3D&id=30daba34-bcf8-473d-982f-d3664cfb504e&searchText=dissociative%20disorder&documentId=f2735450-2bd1-4d07-abbf-289523847277&pageIndex=0
196,diverticulitis,"Diverticulitis is inflammation in your diverticula, which are small pockets that can develop on the inside of your colon . Having diverticula is called diverticulosis . It’s common as you get older, and most people never have any problems with it. But if one of your diverticula becomes inflamed, it can cause acute pain and other symptoms. It might mean that it has an infection, which needs medical attention.",Gastroenterology / Hepatology,"constipation, sharp abdominal pain, lower abdominal pain, nausea, diarrhea",mild,Usually needs treatment but not emergency,"How is diverticulitis diagnosed? If you and your healthcare provider already know that you have diverticulosis, they might recognize your symptoms as possible diverticulitis. But people often don’t know, and the symptoms of diverticulitis can resemble many other conditions. Your healthcare provider may begin with some routine tests to rule out other causes, such as a blood test ( comprehensive metabolic panel ), stool test or urine test . When your provider suspects diverticulitis, they’ll look for it on imaging tests. A CT scan works well: it’s quick and can show the extent of the inflammation as well as any related complications. In some cases, your provider might need to look inside your colon with a lighted scope to investigate further. This is called a colonoscopy . They might be able to treat some complications during the colonoscopy.","0.526, 0.517, 0.512, 0.508, 0.508",https://my.clevelandclinic.org/health/diseases/10352-diverticulitis
